,x,y,p
0,2.2,0.0,-7.279207397831101e-13
1,2.2,0.0,-7.279207397831101e-13
2,2.2,0.0,-7.279207397831101e-13
3,2.2,0.0,-7.279207397831101e-13
4,2.2,0.0,-7.279207397831101e-13
5,2.2,0.0,-7.279207397831101e-13
6,2.2,0.0,-7.279207397831101e-13
7,2.2,0.0,-7.279207397831101e-13
8,2.2,0.0,-7.279207397831101e-13
9,2.2,0.05125,-6.86850345804704e-13
10,2.2,0.05125,-6.86850345804704e-13
11,2.2,0.05125,-6.86850345804704e-13
12,2.2,0.05125,-6.86850345804704e-13
13,2.2,0.05125,-6.86850345804704e-13
14,2.2,0.05125,-6.86850345804704e-13
15,2.2,0.05125,-6.86850345804704e-13
16,2.2,0.05125,-6.86850345804704e-13
17,2.2,0.05125,-6.86850345804704e-13
18,2.2,0.1025,5.131037050128846e-14
19,2.2,0.1025,5.131037050128846e-14
20,2.2,0.1025,5.131037050128846e-14
21,2.2,0.1025,5.131037050128846e-14
22,2.2,0.1025,5.131037050128846e-14
23,2.2,0.1025,5.131037050128846e-14
24,2.2,0.1025,5.131037050128846e-14
25,2.2,0.1025,5.131037050128846e-14
26,2.2,0.1025,5.131037050128846e-14
27,2.2,0.15375,-7.354719294498728e-13
28,2.2,0.15375,-7.354719294498728e-13
29,2.2,0.15375,-7.354719294498728e-13
30,2.2,0.15375,-7.354719294498728e-13
31,2.2,0.15375,-7.354719294498728e-13
32,2.2,0.15375,-7.354719294498728e-13
33,2.2,0.15375,-7.354719294498728e-13
34,2.2,0.15375,-7.354719294498728e-13
35,2.2,0.15375,-7.354719294498728e-13
36,2.2,0.205,-7.340912783413348e-13
37,2.2,0.205,-7.340912783413348e-13
38,2.2,0.205,-7.340912783413348e-13
39,2.2,0.205,-7.340912783413348e-13
40,2.2,0.205,-7.340912783413348e-13
41,2.2,0.205,-7.340912783413348e-13
42,2.2,0.205,-7.340912783413348e-13
43,2.2,0.205,-7.340912783413348e-13
44,2.2,0.205,-7.340912783413348e-13
45,2.2,0.25625,-6.909492371830132e-13
46,2.2,0.25625,-6.909492371830132e-13
47,2.2,0.25625,-6.909492371830132e-13
48,2.2,0.25625,-6.909492371830132e-13
49,2.2,0.25625,-6.909492371830132e-13
50,2.2,0.25625,-6.909492371830132e-13
51,2.2,0.25625,-6.909492371830132e-13
52,2.2,0.25625,-6.909492371830132e-13
53,2.2,0.25625,-6.909492371830132e-13
54,2.2,0.3075,-1.4208734986444164e-12
55,2.2,0.3075,-1.4208734986444164e-12
56,2.2,0.3075,-1.4208734986444164e-12
57,2.2,0.3075,-1.4208734986444164e-12
58,2.2,0.3075,-1.4208734986444164e-12
59,2.2,0.3075,-1.4208734986444164e-12
60,2.2,0.3075,-1.4208734986444164e-12
61,2.2,0.3075,-1.4208734986444164e-12
62,2.2,0.3075,-1.4208734986444164e-12
63,2.2,0.35874999999999996,-7.252119234694331e-13
64,2.2,0.35874999999999996,-7.252119234694331e-13
65,2.2,0.35874999999999996,-7.252119234694331e-13
66,2.2,0.35874999999999996,-7.252119234694331e-13
67,2.2,0.35874999999999996,-7.252119234694331e-13
68,2.2,0.35874999999999996,-7.252119234694331e-13
69,2.2,0.35874999999999996,-7.252119234694331e-13
70,2.2,0.35874999999999996,-7.252119234694331e-13
71,2.2,0.35874999999999996,-7.252119234694331e-13
72,2.2,0.41,-7.283855721971209e-13
73,2.2,0.41,-7.283855721971209e-13
74,2.2,0.41,-7.283855721971209e-13
75,2.2,0.41,-7.283855721971209e-13
76,2.2,0.41,-7.283855721971209e-13
77,2.2,0.41,-7.283855721971209e-13
78,2.2,0.41,-7.283855721971209e-13
79,2.2,0.41,-7.283855721971209e-13
80,2.2,0.41,-7.283855721971209e-13
